"cuenta","repeticiones","mensaje"
"@EDWINANDRESREN1",53,"bogotá alguna vez se enorgulleció de ser la capital del pensamiento crítico. hoy preocupa ver cómo parte de la ciudad cambia argumentos por eslóganes y memoria por emociones pasajeras. abenarco no representa la inteligencia de una ciudad cosmopolita.¡pilas!"
"@jarealbb",29,"+ de 18.000 niños abusados y asesinados por los camarillas de , y no le gusta que le digan guerrillero? vamos sacar a la izquierda y todo ese lumpen comunista para siempre, y que pase lo que tenga q pasar. por la razón o * la fuerza."
"@JavierV82485933",28,"gas esta gente comunista falsedad, montajes, sangre y fuego malditos con maldicion, sus almas"
"@Alejo_puentesv",27,"pacto hamponico"
"@IkariDavhen",10,"gas esta gente comunista falsedad, montajes, sangre y fuego malditos con maldicion, sus almas"
"@CECM1991",9,"cuatro nombres, una sola pregunta que incomoda: ¿cómo se cruzan un capo de los 90 (perafán), un presidente (santos), un senador (cepeda) y el periodista más blindado (coronell)? mientras santos y cepeda justificaban concesiones a santrich y recibían bienes de la dne, el radar de coronell miraba selectivamente para otro lado. ¿periodismo independiente o blindaje mutuo?"
